District,State,Zone
South Andamans,Andaman and Nicobar lslands,Red 
Nicobars,Andaman and Nicobar lslands,Green 
North and Middle Andaman,Andaman and Nicobar lslands,Green 
Kurnool,Andhra Pradesh,Red 
Guntur,Andhra Pradesh,Red 
Krishna,Andhra Pradesh,Red 
Chittoor,Andhra Pradesh,Red 
SPSR Nellore,Andhra Pradesh,Red 
West Godavari,Andhra Pradesh,Orange 
YSR (Kadapa),Andhra Pradesh,Orange 
Anantapur,Andhra Pradesh,Orange 
Prakasam,Andhra Pradesh,Orange 
East Godavari,Andhra Pradesh,Orange 
Srikakulam,Andhra Pradesh,Orange 
Visakhapatnam,Andhra Pradesh,Orange 
Vizianagaram,Andhra Pradesh,Green 
Lohit,Arunachal Pradesh,Green 
Changlang,Arunachal Pradesh,Green 
Dibang Valley,Arunachal Pradesh,Green 
East Kameng,Arunachal Pradesh,Green 
East Slang,Arunachal Pradesh,Green 
Kurung Kumey,Arunachal Pradesh,Green 
Lower Dibang Valley,Arunachal Pradesh,Green 
Lower Subansiri,Arunachal Pradesh,Green 
Papum Pare,Arunachal Pradesh,Green 
Tawang,Arunachal Pradesh,Green 
Tirap,Arunachal Pradesh,Green 
Upper Siang,Arunachal Pradesh,Green 
Upper Subansiri,Arunachal Pradesh,Green 
West Kameng,Arunachal Pradesh,Green 
West Siang,Arunachal Pradesh,Green 
Anjaw,Arunachal Pradesh,Green 
Longding,Arunachal Pradesh,Green 
Kra Daadi,Arunachal Pradesh,Green 
Namsai,Arunachal Pradesh,Green 
Siang,Arunachal Pradesh,Green 
Kamle,Arunachal Pradesh,Green 
Lower Siang,Arunachal Pradesh,Green 
Pakke Kessang,Arunachal Pradesh,Green 
Lepa Rada,Arunachal Pradesh,Green 
Shi Yomi,Arunachal Pradesh,Green 
Dhubri,Assam,Orange 
Morigaon,Assam,Orange 
Goalpara,Assam,Orange 
Golaghat,Assam,Green 
Karimganj,Assam,Green 
Nalbari,Assam,Green 
Hailakandi,Assam,Green 
Cachar,Assam,Green 
Kamrup,Assam,Green 
Lakhimpur,Assam,Green 
Kamrup Metro,Assam,Green 
South Salmara Mankachar,Assam,Green 
Barpeta,Assam,Green 
Bongaigaon,Assam,Green 
Darrang,Assam,Green 
Dhemaji,Assam,Green 
Dibrugarh,Assam,Green 
Jorhat,Assam,Green 
Karbi Anglong,Assam,Green 
Kokrajhar,Assam,Green 
Nagaon,Assam,Green 
Dima Hasao,Assam,Green 
Sivasagar,Assam,Green 
Sonitpur,Assam,Green 
Tinsukia,Assam,Green 
Chirang,Assam,Green 
Baksa,Assam,Green 
Udalguri,Assam,Green 
Biswanath,Assam,Green 
Majuli,Assam,Green 
Charaideo,Assam,Green 
Hojai,Assam,Green 
West Karbi Anglong,Assam,Green 
Munger,Bihar,Red 
Patna,Bihar,Red 
Rohtas,Bihar,Red 
Buxar,Bihar,Red 
Gaya,Bihar,Red 
Nalanda,Bihar,Orange 
Kaimur (Bhabua),Bihar,Orange 
Siwan,Bihar,Orange 
Gopalganj,Bihar,Orange 
Bhojpur,Bihar,Orange 
Begusarai,Bihar,Orange 
Aurangabad,Bihar,Orange 
Madhubani,Bihar,Orange 
Purbi Champaran (East Champaran),Bihar,Orange 
Bhagalpur,Bihar,Orange 
Arwal,Bihar,Orange 
Saran,Bihar,Orange 
Nawada,Bihar,Orange 
Lakhisarai,Bihar,Orange 
Banka,Bihar,Orange 
Vaishali,Bihar,Orange 
Darbhanga,Bihar,Orange 
Jehanabad,Bihar,Orange 
Madhepura,Bihar,Orange 
Purnia,Bihar,Orange 
Sheikhpura,Bihar,Green 
Araria,Bihar,Green 
Jamui,Bihar,Green 
Katihar,Bihar,Green 
Khagaria,Bihar,Green 
Kishanganj,Bihar,Green 
Muzaffarpur,Bihar,Green 
Pashchim Champaran (West Champaran),Bihar,Green 
Saharsa,Bihar,Green 
Samastipur,Bihar,Green 
Sheohar,Bihar,Green 
Sitamarhi,Bihar,Green 
Supaul,Bihar,Green 
Chandigarh,Chandigarh,Red 
Raipur,Chhattisgarh,Red 
Korba,Chhattisgarh,Orange 
Surajpur,Chhattisgarh,Green 
Bilaspur,Chhattisgarh,Green 
Durg,Chhattisgarh,Green 
Rajnandgaon,Chhattisgarh,Green 
Basta,Chhattisgarh,Green 
Dantewada,Chhattisgarh,Green 
Dhamtari,Chhattisgarh,Green 
Janjgir-Champa,Chhattisgarh,Green 
Jashpur,Chhattisgarh,Green 
Kanker,Chhattisgarh,Green 
Kabirdham,Chhattisgarh,Green 
Korea (Koriya),Chhattisgarh,Green 
Mahasamund,Chhattisgarh,Green 
Raigarh,Chhattisgarh,Green 
Surguia,Chhattisgarh,Green 
Bijapur,Chhattisgarh,Green 
Nayaranpur,Chhattisgarh,Green 
Sukma,Chhattisgarh,Green 
Kondagaon,Chhattisgarh,Green 
Baloda Bazar,Chhattisgarh,Green 
Garivaband,Chhattisgarh,Green 
Balod,Chhattisgarh,Green 
Munseli,Chhattisgarh,Green 
Balrampur,Chhattisgarh,Green 
Bemetara,Chhattisgarh,Green 
Dadra And Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Green 
Daman,Dadra and Nagar Haveli and Daman and Diu,Green 
Diu,Dadra and Nagar Haveli and Daman and Diu,Green 
South East Delhi,Delhi,Red 
Central Delhi,Delhi,Red 
North Delhi,Delhi,Red 
South Delhi,Delhi,Red 
North East Delhi,Delhi,Red 
West Delhi,Delhi,Red 
Shahdara,Delhi,Red 
East Delhi,Delhi,Red 
New Delhi,Delhi,Red 
North West Delhi,Delhi,Red 
South West Delhi,Delhi,Red 
North Goa,Goa,Green 
South Goa,Goa,Green 
Ahmedabad,Gujarat,Red 
Surat,Gujarat,Red 
Vadodara,Gujarat,Red 
Anand,Gujarat,Red 
Banaskantha,Gujarat,Red 
Panchmahal,Gujarat,Red 
Bhavnagar,Gujarat,Red 
Gandhinagar,Gujarat,Red 
Aravalli,Gujarat,Red 
Rajkot,Gujarat,Orange 
Bharuch,Gujarat,Orange 
Botad,Gujarat,Orange 
Narmada,Gujarat,Orange 
Chhota Udaipur (Chhotaudepur),Gujarat,Orange 
Mahisagar,Gujarat,Orange 
Mehsana,Gujarat,Orange 
Patan,Gujarat,Orange 
Kheda,Gujarat,Orange 
Valsad,Gujarat,Orange 
Dohad,Gujarat,Orange 
Kachchh (Kutch),Gujarat,Orange 
Navsari,Gujarat,Orange 
Gir Somnath,Gujarat,Orange 
Dang,Gujarat,Orange 
Sabarkantha,Gujarat,Orange 
Tapi,Gujarat,Orange 
Jamnagar,Gujarat,Orange 
Surendranagar,Gujarat,Orange 
Morbi,Gujarat,Green 
Amreli,Gujarat,Green 
Porbandar,Gujarat,Green 
Junagadh,Gujarat,Green 
Devbhumi Dwarka (Devbhoomi Dwarka),Gujarat,Green 
Sonipat,Haryana,Red 
Faridabad,Haryana,Red 
Gurugram (Gurgaon),Haryana,Orange 
Nuh,Haryana,Orange 
Panipat,Haryana,Orange 
Panchkula,Haryana,Orange 
Palwal,Haryana,Orange 
Rohtak,Haryana,Orange 
Hisar,Haryana,Orange 
Ambala,Haryana,Orange 
Jhajjar,Haryana,Orange 
Bhiwani,Haryana,Orange 
Kaithal,Haryana,Orange 
Kurukshetra,Haryana,Orange 
Karnal,Haryana,Orange 
Jind,Haryana,Orange 
Sirsa,Haryana,Orange 
Yamunanagar,Haryana,Orange 
Fatehabad,Haryana,Orange 
Charkhi Dadri,Haryana,Orange 
Mahendragarh,Haryana,Green 
Rewari,Haryana,Green 
Una,Himachal Pradesh,Orange 
Chamba,Himachal Pradesh,Orange 
Hamirpur,Himachal Pradesh,Orange 
Kangra,Himachal Pradesh,Orange 
Sirmaur,Himachal Pradesh,Orange 
Solan,Himachal Pradesh,Orange 
Bilaspur,Himachal Pradesh,Green 
Kinnaur,Himachal Pradesh,Green 
Kullu,Himachal Pradesh,Green 
Lahul and Spiti,Himachal Pradesh,Green 
Mandi,Himachal Pradesh,Green 
Shimla,Himachal Pradesh,Green 
Bandipora,Jammu and Kashmir,Red 
Shopian,Jammu and Kashmir,Red 
Anantnag,Jammu and Kashmir,Red 
Srinagar,Jammu and Kashmir,Red 
Baramulla,Jammu and Kashmir,Orange 
Kupwara,Jammu and Kashmir,Orange 
Ganderbal,Jammu and Kashmir,Orange 
Jammu,Jammu and Kashmir,Orange 
Udhampur,Jammu and Kashmir,Orange 
Kulgam,Jammu and Kashmir,Orange 
Budgam,Jammu and Kashmir,Orange 
Samba,Jammu and Kashmir,Orange 
Kathua,Jammu and Kashmir,Orange 
Rajouri,Jammu and Kashmir,Orange 
Ramban,Jammu and Kashmir,Orange 
Reasi,Jammu and Kashmir,Orange 
Pulwama,Jammu and Kashmir,Green 
Kishtwar,Jammu and Kashmir,Green 
Doda,Jammu and Kashmir,Green 
Poonch,Jammu and Kashmir,Green 
Ranchi,Jharkhand,Red 
Bokaro,Jharkhand,Orange 
Garhwa,Jharkhand,Orange 
Dhanbad,Jharkhand,Orange 
Deoghar,Jharkhand,Orange 
Hazaribagh,Jharkhand,Orange 
Simdega,Jharkhand,Orange 
Giridih,Jharkhand,Orange 
Koderma,Jharkhand,Orange 
Jamtara,Jharkhand,Orange 
Chatra,Jharkhand,Green 
Dumka,Jharkhand,Green 
East Singhbum,Jharkhand,Green 
Godda,Jharkhand,Green 
Gumla,Jharkhand,Green 
Latehar,Jharkhand,Green 
Lohardaga,Jharkhand,Green 
Pakur,Jharkhand,Green 
Palamu,Jharkhand,Green 
Sahebganj,Jharkhand,Green 
Saraikela Kharsawan,Jharkhand,Green 
West Singhbhum,Jharkhand,Green 
Khunti,Jharkhand,Green 
Ramgarh,Jharkhand,Green 
Bengaluru Urban (Bangalore City),Karnataka,Red 
Mysuru (Mysore),Karnataka,Red 
Bengaluru Rural,Karnataka,Red 
Belagavi (Belgaum),Karnataka,Orange 
Vijayapura,Karnataka,Orange 
Kalaburagi (Gulbarga),Karnataka,Orange 
Bagalkote,Karnataka,Orange 
Mandya,Karnataka,Orange 
Ballari (Bellary),Karnataka,Orange 
Dharwad,Karnataka,Orange 
Dakshina Kannada (South Canara),Karnataka,Orange 
Bidar,Karnataka,Orange 
Chikkaballapura,Karnataka,Orange 
Gadag,Karnataka,Orange 
Uttara Kannada (North Canara),Karnataka,Orange 
Tumakuru,Karnataka,Orange 
Davangere,Karnataka,Green 
Udupi,Karnataka,Green 
Chamarajanagar,Karnataka,Green 
Chikkamagaluru (Chikmagalur),Karnataka,Green 
Chitradurga,Karnataka,Green 
Hassan,Karnataka,Green 
Haveri,Karnataka,Green 
Kodagu,Karnataka,Green 
Kolar,Karnataka,Green 
Koppal,Karnataka,Green 
Raichur,Karnataka,Green 
Shivamogga,Karnataka,Green 
Ramanagara,Karnataka,Green 
Yadgir,Karnataka,Green 
Kannur,Kerala,Red 
Kottayam,Kerala,Red 
Kasaragod,Kerala,Orange 
